,Phase,Ascii file,Tel
0,-9.5,100108.SN1994D.ascii,Lick-3m / KAST
1,-7.855999999999767,100109.SN1994D.ascii,Keck1 / LRIS
2,-6.5,100110.SN1994D.ascii,Lick-3m / KAST
3,-5.5,100111.SN1994D.ascii,Lick-3m / KAST
4,-4.040999999997439,100112.SN1994D.ascii,Lick-3m / KAST
5,-3.5,100113.SN1994D.ascii,Lick-3m / KAST
6,13.8949999999968,100114.SN1994D.ascii,Lick-3m / KAST
7,20.5,100115.SN1994D.ascii,Lick-3m / KAST
8,-6.139999999999418,101297.SN1994D.ascii,MMT / MMT-Blue
9,-5.3000000000029095,104478.SN1994D.ascii,ESO-1.5m / BC-ESO
10,-4.3000000000029095,104479.SN1994D.ascii,ESO-NTT / EMMI
11,-2.3000000000029104,104480.SN1994D.ascii,ESO-1.5m / BC-ESO
12,1.6999999999970896,104481.SN1994D.ascii,ESO-2.2m / EFOSC-2.2
13,3.6999999999970896,104484.SN1994D.ascii,ESO-1.5m / BC-ESO
14,10.69999999999709,104490.SN1994D.ascii,Ekar / BC-Ekar
15,11.69999999999709,104492.SN1994D.ascii,ESO-1.5m / BC-ESO
16,12.69999999999709,104493.SN1994D.ascii,ESO-1.5m / BC-ESO
17,14.69999999999709,104494.SN1994D.ascii,ESO-1.5m / BC-ESO
18,16.69999999999709,104495.SN1994D.ascii,ESO-1.5m / BC-ESO
19,18.69999999999709,104496.SN1994D.ascii,ESO-1.5m / BC-ESO
