,Phase,Ascii file,Tel
0,-6.19999999999709,5946.SN1999by.ascii,FLWO-1.5m / FAST
1,-5.19999999999709,5947.SN1999by.ascii,FLWO-1.5m / FAST
2,-4.19999999999709,5948.SN1999by.ascii,FLWO-1.5m / FAST
3,1.8000000000029104,5950.SN1999by.ascii,FLWO-1.5m / FAST
4,2.8000000000029104,5951.SN1999by.ascii,FLWO-1.5m / FAST
5,3.8000000000029104,5952.SN1999by.ascii,FLWO-1.5m / FAST
6,4.80000000000291,5953.SN1999by.ascii,FLWO-1.5m / FAST
7,5.80000000000291,5954.SN1999by.ascii,FLWO-1.5m / FAST
8,6.80000000000291,5955.SN1999by.ascii,FLWO-1.5m / FAST
9,-3.0499999999956344,101799.SN1999by.ascii,FLWO-1.5m / FAST
10,2.9500000000043656,101802.SN1999by.ascii,FLWO-1.5m / FAST
